('245893', '1', '6', 'tt29964473')
('224398', '1', '3', 'tt27303711')
('103103', '2', '10', 'tt12610214')
('202150', '1', '5', 'tt28102657')
('13883', '1', '3', 'tt0108764')
('73239', '5', '8', 'tt6565892')
('201050', '1', '3', 'tt19868314')
('1027', '8', '3', 'tt0061240')
('2405', '2', '58', 'tt0118360')
('542499', '1', '19', 'tt0072564')
('80550', '5', '20', 'tt8595140')
('494', '9', '9', 'tt0073955')
('64023', '2', '6', 'tt4600404')
('988', '3', '14', 'tt0068126')
('64011', '2', '11', 'tt3823996')
('102321', '5', '8', 'tt8543208')
('228658', '1', '1', 'tt27128638')
('223249', '1', '2', 'tt27729024')
('220034', '1', '6', 'tt21371338')
('11688', '1', '9', 'tt0086829')
('7987', '2', '15', 'tt0069584')
('31745', '2', '9', 'tt1395384')
('204358', '1', '7', 'tt14914464')
('10548', '3', '4', 'tt1055335')
('1938', '5', '17', 'tt0088470')
('10005', '3', '4', 'tt0063941')
('26445', '1', '12', 'tt0046585')
('70940', '5', '1', 'tt6289132')
('494', '5', '4', 'tt0073955')
('615', '10', '6', 'tt0149460')
('62626', '2', '1', 'tt4160920')
('6432', '1', '5', 'tt0168337')
('68975', '11', '8', 'tt5938484')
('118546', '2', '10', 'tt14028208')
('72002', '6', '2', 'tt6128300')
('9985', '2', '23', 'tt0052461')
('1813', '3', '6', 'tt0111958')
('215455', '2', '6', 'tt16984340')
('9895', '2', '16', 'tt0062601')
('1719', '2', '11', 'tt0108783')
('97546', '3', '10', 'tt10986410')
('158756', '2', '1', 'tt18249282')
('2595', '7', '8', 'tt0078638')
('18686', '2', '20', 'tt1299440')
('4330', '1', '9', 'tt0115270')
('988', '1', '5', 'tt0068126')
('93015', '3', '10', 'tt7569724')
('96907', '5', '8', 'tt10477884')
('83295', '2', '3', 'tt9070896')
('4343', '3', '5', 'tt0490547')
('45382', '2', '2', 'tt0319987')
('218678', '1', '5', 'tt26344258')
('71322', '8', '15', 'tt6186672')
('2264', '2', '8', 'tt0284713')
('102321', '5', '30', 'tt8543208')
('118303', '2', '3', 'tt11947418')
('16386', '1', '8', 'tt1103968')
('60998', '4', '17', 'tt3443274')
('1719', '2', '16', 'tt0108783')
('2223', '2', '16', 'tt0058801')
('59440', '1', '1', 'tt2211457')
('219651', '1', '4', 'tt26653824')
('141', '7', '20', 'tt0083399')
('12306', '1', '5', 'tt0101226')
('61381', '7', '4', 'tt3487356')
('949424', '1', '9', 'tt13759970')
('93027', '3', '3', 'tt9318602')
('13678', '21', '6', 'tt0443370')
('1027', '1', '12', 'tt0061240')
('13869', '1', '14', 'tt0073966')
('17610', '14', '1', 'tt1378167')
('3956', '20', '5', 'tt0429466')
('108948', '1', '11', 'tt13057984')
('90239', '2', '2', 'tt9863788')
('31179', '3', '18', 'tt0041038')
('2304', '8', '7', 'tt0086815')
('76331', '4', '3', 'tt7660850')
('63395', '1', '4', 'tt3377134')
('130', '2', '5', 'tt0387714')
('141', '10', '23', 'tt0083399')
('226807', '1', '3', 'tt21613402')
('212762', '1', '1', 'tt14676562')
('77661', '5', '5', 'tt12030356')
('97513', '3', '1', 'tt11709206')
('50592', '4', '6', 'tt2128103')
('56387', '6', '19', 'tt0091211')
('236098', '1', '4', 'tt29344232')
('127633', '1', '8', 'tt13262134')
('14551', '1', '3', 'tt0055705')
('217831', '1', '6', 'tt22037876')
('129500', '3', '1', 'tt14669850')
('44166', '1', '10', 'tt11427396')
('96580', '3', '6', 'tt8690918')
('62474', '7', '6', 'tt2960144')
('247104', '1', '10', 'tt13276218')
('59440', '2', '2', 'tt2211457')
('218529', '1', '5', 'tt25755694')
('71904', '3', '5', 'tt5684214')
('5908', '2', '3', 'tt0051293')
('21755', '21', '15', 'tt1492088')
('59124', '2', '9', 'tt4345548')
('240575', '1', '5', 'tt29961423')
('1027', '5', '1', 'tt0061240')
('77661', '8', '2', 'tt12030356')
('223116', '1', '3', 'tt21149774')
('566', '4', '25', 'tt0086681')
('21036', '1', '49', 'tt0172031')
('78950', '4', '2', 'tt7529770')
('5146', '23', '8', 'tt0423652')
('18008', '1', '35', 'tt0051282')
('228308', '1', '6', 'tt28004970')
('2627', '2', '16', 'tt0053540')
('55808', '4', '11', 'tt2762330')
('983', '1', '24', 'tt0063893')
('70440', '1', '9', 'tt6356086')
('44470', '9', '4', 'tt1863526')
('39005', '1', '5', 'tt1711422')
('155', '1', '17', 'tt0115082')
('65991', '8', '4', 'tt2107314')
('10160', '25', '34', 'tt0251497')
('33428', '3', '23', 'tt1718438')
('10649', '2', '37', 'tt0051267')
('72027', '6', '3', 'tt6311972')
('1068', '2', '7', 'tt0068112')
('119064', '1', '5', 'tt14206696')
('32697', '2', '7', 'tt1582453')
('587', '1', '7', 'tt0069557')
('10442', '1', '12', 'tt0101240')
('114922', '1', '6', 'tt9794044')
('62650', '5', '19', 'tt4655480')
('114656', '3', '12', 'tt13438882')
('2223', '9', '16', 'tt0058801')
